UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,temp_difference,high_risk_rpm,power_consumption_kw,efficiency_score,cost_per_hour_tl,optimization_priority
15,L47194,L,298.6,309.2,2035.0,19.6,40.0,0.0,No Failure,10.599999999999966,1,0.6900278000000001,28.40465268210933,0.82803336,4
16,L47195,L,298.6,309.2,1542.0,48.4,42.0,0.0,No Failure,10.599999999999966,0,1.29114744,37.486036451421846,1.549376928,2
17,M14876,M,298.6,309.2,1311.0,46.6,44.0,0.0,No Failure,10.599999999999966,0,1.05690198,44.09112754240465,1.268282376,0
18,M14877,M,298.7,309.2,1410.0,45.6,47.0,0.0,No Failure,10.5,0,1.1123208,40.99536752346985,1.33478496,0
19,H29432,H,298.8,309.2,1306.0,54.5,50.0,0.0,No Failure,10.399999999999977,0,1.2313621000000001,44.25992971523161,1.47763452,0
20,M14879,M,298.9,309.3,1632.0,32.5,55.0,0.0,No Failure,10.400000000000034,0,0.917592,35.41879179417432,1.1011103999999998,2
21,H29434,H,298.9,309.3,1375.0,42.7,58.0,0.0,No Failure,10.400000000000034,0,1.0157262500000002,42.0388859695218,1.2188715,0
22,L47201,L,298.8,309.3,1450.0,44.8,63.0,0.0,No Failure,10.5,0,1.123808,39.86446083316723,1.3485695999999998,0
23,M14882,M,298.9,309.3,1581.0,30.7,65.0,0.0,No Failure,10.400000000000034,0,0.83968491,36.56133346495413,1.007621892,2
24,L47203,L,299.0,309.4,1758.0,25.7,68.0,0.0,No Failure,10.399999999999977,0,0.78162438,32.880243576844414,0.937949256,2
25,M14884,M,299.0,309.4,1561.0,37.3,70.0,0.0,No Failure,10.399999999999977,0,1.0072976900000001,37.02976823068064,1.208757228,2
26,L47205,L,299.0,309.5,1861.0,23.3,73.0,0.0,No Failure,10.5,0,0.75015049,31.0604342869922,0.900180588,2
27,L47206,L,299.1,309.5,1512.0,39.0,75.0,0.0,No Failure,10.399999999999977,0,1.0201464,38.229807015934185,1.2241756799999999,2
28,H29441,H,299.1,309.4,1811.0,24.6,77.0,0.0,No Failure,10.299999999999955,0,0.77072538,31.91798354947128,0.924870456,2
29,L47208,L,299.1,309.4,1439.0,44.2,82.0,0.0,No Failure,10.299999999999955,0,1.10034574,40.16919263939714,1.320414888,0
30,L47209,L,299.0,309.4,1693.0,30.1,84.0,0.0,No Failure,10.399999999999977,0,0.8815958899999999,34.14262741174985,1.0579150679999998,2
31,M14890,M,299.1,309.5,1339.0,48.2,86.0,0.0,No Failure,10.399999999999977,0,1.11653854,43.16913234360903,1.339846248,0
32,L47211,L,299.0,309.4,1798.0,25.5,89.0,0.0,No Failure,10.399999999999977,0,0.7931877,32.14875873642519,0.95182524,2
33,L47212,L,299.0,309.4,1419.0,48.3,91.0,0.0,No Failure,10.399999999999977,0,1.18570221,40.735354621629654,1.4228426520000002,0
34,L47213,L,298.9,309.3,1665.0,32.5,93.0,0.0,No Failure,10.400000000000034,0,0.9361462500000002,34.716797722578065,1.1233755,2
35,M14894,M,298.8,309.1,1559.0,34.7,95.0,0.0,No Failure,10.300000000000011,0,0.93588329,37.077272744126034,1.123059948,2
36,M14895,M,298.8,309.2,1452.0,48.6,98.0,0.0,No Failure,10.399999999999977,0,1.22081256,39.80955110750172,1.4649750719999999,0
37,M14896,M,298.9,309.2,1581.0,36.7,101.0,0.0,No Failure,10.300000000000011,0,1.0037927100000001,36.56133346495413,1.2045512520000001,2
38,L47217,L,298.8,309.1,1439.0,39.2,104.0,0.0,No Failure,10.300000000000011,0,0.9758722400000001,40.16919263939714,1.1710466880000001,0
39,H29452,H,298.9,309.2,1379.0,50.7,106.0,0.0,No Failure,10.300000000000011,0,1.2095346900000001,41.916945763663875,1.4514416280000002,0
40,L47219,L,298.8,309.1,1350.0,52.5,111.0,0.0,No Failure,10.300000000000011,0,1.2261375,42.81738385784628,1.471365,0
41,L47220,L,298.8,309.1,1362.0,45.4,113.0,0.0,No Failure,10.300000000000011,0,1.06974204,42.44013818508993,1.283690448,0
42,L47221,L,298.8,309.1,1368.0,50.8,115.0,0.0,No Failure,10.300000000000011,0,1.2022531200000002,42.25399722813777,1.4427037440000001,0
43,M14902,M,298.8,309.1,1368.0,49.1,117.0,0.0,No Failure,10.300000000000011,0,1.1620202400000001,42.25399722813778,1.3944242880000002,0
44,H29457,H,298.8,309.2,1372.0,48.5,120.0,0.0,No Failure,10.399999999999977,0,1.1511766,42.130807731845834,1.3814119200000001,0
45,M14904,M,298.8,309.1,1472.0,47.5,125.0,0.0,No Failure,10.300000000000011,0,1.2096159999999998,39.26866046745414,1.4515391999999998,0
46,L47225,L,298.8,309.1,1489.0,49.1,128.0,0.0,No Failure,10.300000000000011,0,1.26480127,38.820327876489245,1.517761524,0
47,M14906,M,298.7,309.0,1843.0,25.8,130.0,0.0,No Failure,10.300000000000011,0,0.82260462,31.36379175696825,0.987125544,2
48,L47227,L,298.8,309.1,1418.0,46.3,133.0,0.0,No Failure,10.300000000000011,0,1.1358038199999998,40.76408195211036,1.3629645839999998,0
49,H29462,H,298.8,309.2,1425.0,53.9,135.0,0.0,No Failure,10.399999999999977,0,1.3287697500000002,40.56383733901227,1.5945237,0
50,M14909,M,298.9,309.2,1412.0,44.1,140.0,0.0,No Failure,10.300000000000011,0,1.07725716,40.9373004306604,1.292708592,0
51,L47230,L,298.9,309.1,2861.0,4.6,143.0,1.0,Power Failure,10.200000000000045,1,0.22767837999999999,20.203938555782063,0.273214056,5
52,L47231,L,298.9,309.1,1383.0,54.9,145.0,0.0,No Failure,10.200000000000045,0,1.3135319099999998,41.79571092414497,1.5762382919999998,0
53,H29466,H,298.8,309.0,1497.0,43.8,147.0,0.0,No Failure,10.199999999999989,0,1.13433678,38.61287121449064,1.3612041359999998,0
54,L47233,L,298.7,309.0,1565.0,35.1,152.0,0.0,No Failure,10.300000000000011,0,0.95031495,36.93512345565015,1.14037794,2
55,L47234,L,298.7,309.0,1691.0,30.1,154.0,0.0,No Failure,10.300000000000011,0,0.8805544299999999,34.18300899354967,1.056665316,2
56,L47235,L,298.8,309.1,1512.0,40.7,156.0,0.0,No Failure,10.300000000000011,0,1.06461432,38.229807015934185,1.277537184,2
57,L47236,L,298.8,309.1,1477.0,42.4,158.0,0.0,No Failure,10.300000000000011,0,1.08340904,39.135726613468165,1.300090848,0
58,L47237,L,298.8,309.1,1513.0,40.3,160.0,0.0,No Failure,10.300000000000011,0,1.0548484699999998,38.20453946337904,1.2658181639999997,2
59,M14918,M,298.8,309.0,1661.0,29.5,162.0,0.0,No Failure,10.199999999999989,0,0.84769135,34.8004022926505,1.01722962,2
60,L47239,L,298.8,309.1,1378.0,54.4,165.0,0.0,No Failure,10.300000000000011,0,1.29686336,41.94736444709179,1.556236032,0
61,L47240,L,298.8,309.1,1393.0,52.6,167.0,0.0,No Failure,10.300000000000011,0,1.2676021400000002,41.49566992684313,1.5211225680000002,0
62,M14921,M,298.8,309.0,1592.0,38.2,169.0,0.0,No Failure,10.199999999999989,0,1.05208912,36.30871118598775,1.2625069439999999,2
63,L47242,L,298.8,309.0,1829.0,22.9,172.0,0.0,No Failure,10.199999999999989,0,0.72459493,31.60386452055357,0.8695139159999999,2
64,M14923,M,298.9,309.0,1812.0,25.9,174.0,0.0,No Failure,10.100000000000023,0,0.81190284,31.900368768262958,0.974283408,2
65,L47244,L,299.0,309.1,1523.0,38.6,177.0,0.0,No Failure,10.100000000000023,0,1.01702894,37.95368890879349,1.220434728,2
66,L47245,L,299.0,309.1,1394.0,45.1,179.0,0.0,No Failure,10.100000000000023,0,1.08764062,41.465902588301645,1.305168744,0
67,M14926,M,298.9,308.9,1679.0,28.7,181.0,0.0,No Failure,10.0,0,0.83364029,34.42731876598719,1.0003683479999999,2
68,H29481,H,298.8,308.9,1466.0,44.1,184.0,0.0,No Failure,10.099999999999966,0,1.11845538,39.42937804099078,1.342146456,0
69,L47248,L,298.8,308.9,1527.0,32.4,189.0,0.0,No Failure,10.099999999999966,0,0.8559140399999999,37.85426863660281,1.0270968479999998,2
70,L47249,L,298.9,309.0,1410.0,65.7,191.0,1.0,Power Failure,10.100000000000023,0,1.6026201,40.99536752346985,1.92314412,1
71,M14930,M,298.9,309.0,1924.0,22.6,193.0,0.0,No Failure,10.100000000000023,1,0.75224552,30.043382644538717,0.902694624,4
72,L47251,L,298.9,309.1,1452.0,45.5,196.0,0.0,No Failure,10.200000000000045,0,1.1429418,39.80955110750171,1.37153016,0
73,L47252,L,298.9,309.1,1369.0,44.4,198.0,0.0,No Failure,10.200000000000045,0,1.05155628,42.22313236529765,1.261867536,0
74,L47253,L,299.0,309.1,1592.0,35.0,200.0,0.0,No Failure,10.100000000000023,0,0.963956,36.30871118598774,1.1567472,2
75,L47254,L,298.9,309.0,1601.0,32.3,202.0,0.0,No Failure,10.100000000000023,0,0.8946227899999998,36.104602253649276,1.0735473479999997,2
76,L47255,L,298.8,308.9,1379.0,46.7,204.0,0.0,No Failure,10.099999999999966,0,1.11410789,41.916945763663875,1.3369294680000001,0
77,L47256,L,298.8,308.9,1461.0,47.9,206.0,0.0,No Failure,10.099999999999966,0,1.21068687,39.56431773312285,1.4528242439999999,0
78,L47257,L,298.8,308.9,1455.0,41.3,208.0,1.0,Tool Wear Failure,10.099999999999966,0,1.03958295,39.72746955882645,1.24749954,1
79,L47258,L,298.8,308.9,1398.0,51.5,0.0,0.0,No Failure,10.099999999999966,0,1.2455481,41.34725909019491,1.49465772,0
80,L47259,L,298.8,308.9,1402.0,37.9,2.0,0.0,No Failure,10.099999999999966,0,0.91924934,41.22929258779778,1.103099208,0
81,H29494,H,298.8,308.8,1445.0,49.9,4.0,0.0,No Failure,10.0,0,1.24742515,40.00240014400864,1.49691018,0
82,L47261,L,298.9,308.9,1450.0,47.5,9.0,0.0,No Failure,10.0,0,1.1915375,39.864460833167236,1.4298449999999998,0
83,L47262,L,298.9,308.9,1453.0,40.8,11.0,0.0,No Failure,10.0,0,1.02558552,39.78215293055229,1.2307026239999999,0
84,L47263,L,299.0,309.0,1469.0,40.1,13.0,0.0,No Failure,10.0,0,1.01908937,39.34885514505955,1.2229072440000002,0
85,L47264,L,298.9,308.9,1422.0,47.6,15.0,0.0,No Failure,10.0,0,1.17098856,40.649415054917355,1.4051862720000001,0
86,M14945,M,299.0,309.0,1804.0,26.8,17.0,0.0,No Failure,10.0,0,0.8364065600000001,32.04183381823308,1.0036878720000002,2
87,H29500,H,299.0,309.0,1436.0,43.9,20.0,0.0,No Failure,10.0,0,1.09059892,40.253111565524016,1.308718704,0
88,L47267,L,299.0,309.0,1544.0,31.8,25.0,0.0,No Failure,10.0,0,0.8494161600000001,37.43747940938632,1.019299392,2
89,M14948,M,299.0,309.0,1419.0,45.2,27.0,0.0,No Failure,10.0,0,1.1096012400000002,40.735354621629654,1.3315214880000001,0
90,M14949,M,298.9,308.9,1487.0,39.5,30.0,0.0,No Failure,10.0,0,1.0161414500000001,38.872540825886,1.21936974,0
91,L47270,L,298.9,308.9,1753.0,25.8,33.0,0.0,No Failure,10.0,0,0.7824340200000001,32.97402635943667,0.938920824,2
92,L47271,L,298.9,308.9,1830.0,24.9,35.0,0.0,No Failure,10.0,0,0.7883091,31.586594649230864,0.9459709199999999,2
93,M14952,M,298.9,308.9,1727.0,27.1,37.0,0.0,No Failure,10.0,0,0.8096694100000001,33.47045061267659,0.9716032920000002,2
94,L47273,L,299.1,309.0,1450.0,43.0,40.0,0.0,No Failure,9.899999999999977,0,1.078655,39.864460833167236,1.2943859999999998,0
95,L47274,L,299.0,308.9,1622.0,31.9,42.0,0.0,No Failure,9.899999999999977,0,0.8951331400000001,35.63715672508784,1.0741597680000001,2
96,M14955,M,299.0,309.0,1351.0,52.2,44.0,0.0,No Failure,10.0,0,1.22003406,42.785690753584376,1.4640408719999998,0
97,M14956,M,299.0,309.0,1575.0,35.3,47.0,0.0,No Failure,10.0,0,0.96183675,36.70061473529681,1.1542041,2
98,M14957,M,298.9,308.9,1750.0,29.9,50.0,0.0,No Failure,10.0,0,0.9052224999999999,33.03055326176714,1.0862669999999999,2
99,L47278,L,298.9,308.8,1529.0,32.7,53.0,0.0,No Failure,9.900000000000034,0,0.86497059,37.80475356971386,1.0379647079999998,2
100,L47279,L,298.8,308.8,1523.0,44.4,55.0,0.0,No Failure,10.0,0,1.1698467599999998,37.953688908793495,1.4038161119999997,2
101,L47280,L,298.8,308.9,1852.0,25.0,57.0,0.0,No Failure,10.099999999999966,0,0.80099,31.21137592229616,0.9611879999999999,2
102,L47281,L,298.8,308.8,1991.0,20.7,59.0,0.0,No Failure,10.0,1,0.7129970099999999,29.03237981320567,0.8555964119999999,4
103,L47282,L,298.8,308.8,1555.0,40.6,61.0,0.0,No Failure,10.0,0,1.0922009000000001,37.17264836533278,1.3106410800000001,2
104,M14963,M,298.8,308.8,1441.0,40.5,63.0,0.0,No Failure,10.0,0,1.00963665,40.11344081061241,1.21156398,0
105,L47284,L,298.8,308.7,1450.0,43.4,66.0,0.0,No Failure,9.899999999999977,0,1.088689,39.86446083316723,1.3064267999999999,0
106,L47285,L,298.8,308.7,1591.0,31.1,68.0,0.0,No Failure,9.899999999999977,0,0.85600573,36.3315325003724,1.027206876,2
107,L47286,L,298.8,308.7,1445.0,48.5,70.0,0.0,No Failure,9.899999999999977,0,1.21242725,40.00240014400864,1.4549127,0
108,M14967,M,298.8,308.8,1497.0,46.8,72.0,0.0,No Failure,10.0,0,1.21203108,38.61287121449063,1.454437296,0
109,H29522,H,298.9,308.8,1621.0,32.7,75.0,0.0,No Failure,9.900000000000034,0,0.9170159100000002,35.65914139919339,1.100419092,2
110,L47289,L,298.9,308.7,1572.0,34.1,80.0,0.0,No Failure,9.800000000000011,0,0.9273699600000002,36.770654076394706,1.1128439520000002,2
111,L47290,L,298.8,308.6,1872.0,22.5,82.0,0.0,No Failure,9.800000000000011,0,0.728676,30.877921051331455,0.8744111999999999,2
112,H29525,H,298.7,308.6,1499.0,43.5,84.0,0.0,No Failure,9.900000000000034,0,1.12807245,38.5613530407555,1.3536869399999998,0
113,M14972,M,298.8,308.7,1498.0,39.5,89.0,0.0,No Failure,9.899999999999977,0,1.0236583000000001,38.587094931970945,1.2283899600000001,0
114,M14973,M,298.8,308.6,1486.0,41.9,92.0,0.0,No Failure,9.800000000000011,0,1.0771568200000001,38.89870000544581,1.2925881840000002,0
115,L47294,L,298.8,308.6,1680.0,29.4,95.0,0.0,No Failure,9.800000000000011,0,0.8544816,34.40682631434076,1.02537792,2
116,L47295,L,298.8,308.6,1431.0,45.7,97.0,0.0,No Failure,9.800000000000011,0,1.1313629100000002,40.393758356458754,1.3576354920000002,0
117,L47296,L,298.9,308.7,1564.0,34.1,99.0,0.0,No Failure,9.800000000000011,0,0.92265052,36.958739263486244,1.107180624,2
118,L47297,L,298.8,308.6,1599.0,33.0,101.0,0.0,No Failure,9.800000000000011,0,0.9128691,36.14976123082707,1.09544292,2
119,M14978,M,298.8,308.6,1707.0,28.1,103.0,0.0,No Failure,9.800000000000011,0,0.8298239100000001,33.86260586297158,0.9957886920000001,2
120,L47299,L,298.7,308.5,1467.0,40.7,106.0,0.0,No Failure,9.800000000000011,0,1.0329293700000002,39.40250048268063,1.2395152440000001,0
121,L47300,L,298.9,308.7,1433.0,44.7,108.0,0.0,No Failure,9.800000000000011,0,1.1081532299999999,40.33738186189288,1.3297838759999998,0
122,L47301,L,298.9,308.7,1558.0,41.2,110.0,0.0,No Failure,9.800000000000011,0,1.11048008,37.10107073690147,1.3325760960000002,2
123,L47302,L,299.0,308.8,1310.0,50.7,112.0,0.0,No Failure,9.800000000000011,0,1.1490141,44.124784891673656,1.37881692,0
124,L47303,L,298.9,308.7,1546.0,43.4,114.0,0.0,No Failure,9.800000000000011,0,1.16076772,37.38904800005982,1.392921264,2
125,L47304,L,298.9,308.7,1727.0,29.4,116.0,0.0,No Failure,9.800000000000011,0,0.87838674,33.47045061267659,1.054064088,2
126,L47305,L,298.9,308.6,1560.0,32.2,118.0,0.0,No Failure,9.700000000000045,0,0.8690135999999999,37.053505261597756,1.0428163199999998,2
127,L47306,L,299.0,308.6,1329.0,60.5,120.0,0.0,No Failure,9.600000000000023,0,1.3909978499999998,43.49395651474229,1.6691974199999997,0
128,L47307,L,298.9,308.6,1413.0,46.5,122.0,0.0,No Failure,9.700000000000045,0,1.1366878500000002,40.90832852660473,1.3640254200000002,0
129,L47308,L,299.0,308.6,1587.0,38.6,124.0,0.0,No Failure,9.600000000000023,0,1.0597668599999999,36.42310536111688,1.2717202319999998,2
130,L47309,L,298.9,308.5,1559.0,34.3,126.0,0.0,No Failure,9.600000000000023,0,0.9250950099999998,37.077272744126034,1.1101140119999997,2
131,L47310,L,298.8,308.4,1473.0,41.1,128.0,0.0,No Failure,9.599999999999966,0,1.0473471900000002,39.24200149904445,1.2568166280000002,0
132,L47311,L,298.8,308.4,1737.0,27.7,130.0,0.0,No Failure,9.599999999999966,0,0.83238777,33.277759475010065,0.9988653239999999,2
133,M14992,M,298.7,308.4,1441.0,43.2,132.0,0.0,No Failure,9.699999999999989,0,1.07694576,40.11344081061241,1.292334912,0
134,M14993,M,298.7,308.4,1430.0,49.6,135.0,0.0,No Failure,9.699999999999989,0,1.2270543999999999,40.42200573992482,1.4724652799999998,0
135,L47314,L,298.8,308.4,1369.0,53.0,138.0,0.0,No Failure,9.599999999999966,0,1.2552361,42.22313236529765,1.50628332,0
136,M14995,M,298.8,308.5,1711.0,28.5,140.0,0.0,No Failure,9.699999999999989,0,0.84360855,33.783441384040025,1.01233026,2
137,H29550,H,298.7,308.5,1420.0,45.7,143.0,0.0,No Failure,9.800000000000011,0,1.1226661999999998,40.706667752177815,1.3471994399999998,0
138,L47317,L,298.7,308.6,1297.0,55.3,148.0,0.0,No Failure,9.900000000000034,0,1.2408269299999999,44.56705336013299,1.4889923159999998,0
139,H29552,H,298.8,308.6,1449.0,49.4,150.0,0.0,No Failure,9.800000000000011,0,1.23834438,39.891972538366105,1.486013256,0
140,L47319,L,298.8,308.6,1268.0,55.8,155.0,0.0,No Failure,9.800000000000011,0,1.22405112,45.586331394394705,1.4688613439999998,0
141,L47320,L,298.8,308.6,1511.0,36.1,157.0,0.0,No Failure,9.800000000000011,0,0.9436648299999999,38.25510801329748,1.1323977959999998,2
142,L47321,L,298.7,308.5,1544.0,35.2,159.0,0.0,No Failure,9.800000000000011,0,0.9402342400000001,37.43747940938632,1.128281088,2
143,M15002,M,298.6,308.4,1778.0,28.2,161.0,0.0,No Failure,9.799999999999955,0,0.8674150799999999,32.51038706866844,1.0408980959999998,2
144,H29557,H,298.6,308.4,1407.0,50.5,164.0,0.0,No Failure,9.799999999999955,0,1.22922555,41.08277768876509,1.4750706599999999,0
145,M15004,M,298.6,308.4,1391.0,42.4,169.0,0.0,No Failure,9.799999999999955,0,1.02032632,41.555333003661026,1.224391584,0
146,L47325,L,298.5,308.4,1513.0,33.6,172.0,0.0,No Failure,9.899999999999977,0,0.87947664,38.20453946337904,1.055371968,2
147,H29560,H,298.5,308.4,1612.0,36.1,174.0,0.0,No Failure,9.899999999999977,0,1.00674236,35.8582308983204,1.2080908320000001,2
148,L47327,L,298.4,308.4,1515.0,40.1,179.0,0.0,No Failure,10.0,0,1.05100095,38.15410442778382,1.2612011399999998,2
149,M15008,M,298.3,308.3,1379.0,48.0,181.0,0.0,No Failure,10.0,0,1.1451216,41.916945763663875,1.37414592,0
150,L47329,L,298.4,308.3,1473.0,39.9,184.0,0.0,No Failure,9.900000000000034,0,1.0167677099999999,39.24200149904446,1.2201212519999998,0
151,L47330,L,298.4,308.3,1422.0,42.7,186.0,0.0,No Failure,9.900000000000034,0,1.05044562,40.64941505491736,1.260534744,0
152,M15011,M,298.4,308.2,1463.0,37.6,188.0,0.0,No Failure,9.800000000000011,0,0.95165224,39.5102311743626,1.141982688,0
153,M15012,M,298.4,308.2,1584.0,41.0,191.0,0.0,No Failure,9.800000000000011,0,1.1235312,36.49208851520991,1.34823744,2
154,L47333,L,298.4,308.2,1850.0,27.0,194.0,0.0,No Failure,9.800000000000011,0,0.8641350000000001,31.24511795032026,1.0369620000000002,2
155,L47334,L,298.4,308.2,1528.0,36.2,196.0,0.0,No Failure,9.800000000000011,0,0.9569252800000001,37.82949490058409,1.148310336,2
156,H29569,H,298.4,308.2,1987.0,19.8,198.0,0.0,No Failure,9.800000000000011,1,0.6806269800000001,29.090824463056105,0.8167523760000001,4
157,M15016,M,298.4,308.1,1495.0,46.0,203.0,0.0,No Failure,9.700000000000045,0,1.1897210000000003,38.664527229493295,1.4276652000000003,0
158,H29571,H,298.4,308.2,1478.0,43.5,206.0,0.0,No Failure,9.800000000000011,0,1.1122689,39.109247772728345,1.3347226799999998,0
159,M15018,M,298.4,308.2,1499.0,40.0,211.0,0.0,No Failure,9.800000000000011,0,1.0373080000000001,38.56135304075549,1.2447696000000001,0
160,L47339,L,298.4,308.2,1471.0,47.0,214.0,0.0,No Failure,9.800000000000011,0,1.1960701,39.29535568191196,1.43528412,0
161,L47340,L,298.4,308.2,1282.0,60.7,216.0,1.0,Overstrain Failure,9.800000000000011,0,1.3462410200000001,45.088508742661844,1.615489224,1
162,L47341,L,298.3,308.1,1412.0,52.3,218.0,1.0,Overstrain Failure,9.800000000000011,0,1.27756348,40.9373004306604,1.533076176,1
163,L47342,L,298.3,308.1,1586.0,35.5,0.0,0.0,No Failure,9.800000000000011,0,0.9740419,36.446070749112536,1.16885028,2
164,M15023,M,298.4,308.2,1468.0,43.8,2.0,0.0,No Failure,9.800000000000011,0,1.11236232,39.375659542297335,1.3348347839999999,0
165,M15024,M,298.5,308.3,1440.0,43.6,5.0,0.0,No Failure,9.800000000000011,0,1.0861631999999999,40.141297366730896,1.3033958399999999,0
166,L47345,L,298.5,308.4,1733.0,26.0,8.0,0.0,No Failure,9.899999999999977,0,0.7795034000000001,33.354569075644825,0.9354040800000001,2
167,H29580,H,298.4,308.2,1612.0,32.6,10.0,0.0,No Failure,9.800000000000011,0,0.9091357600000002,35.85823089832039,1.0909629120000002,2
168,H29581,H,298.4,308.3,1458.0,42.9,15.0,0.0,No Failure,9.900000000000034,0,1.08208386,39.645725794302116,1.2985006319999999,0
169,L47348,L,298.4,308.3,1433.0,62.3,20.0,1.0,Power Failure,9.900000000000034,0,1.5444730700000002,40.337381861892865,1.8533676840000002,1
170,L47349,L,298.4,308.3,1318.0,59.1,22.0,0.0,No Failure,9.900000000000034,0,1.34756274,43.85695615181524,1.617075288,0
171,M15030,M,298.4,308.2,1610.0,35.0,24.0,0.0,No Failure,9.800000000000011,0,0.974855,35.90277528452949,1.169826,2
172,L47351,L,298.2,308.1,1462.0,50.8,27.0,0.0,No Failure,9.900000000000034,0,1.28486408,39.53725595628761,1.541836896,0
173,M15032,M,298.1,308.0,1924.0,20.8,29.0,0.0,No Failure,9.899999999999977,1,0.6923321600000001,30.04338264453871,0.8307985920000001,4
174,M15033,M,298.2,308.0,1591.0,33.7,32.0,0.0,No Failure,9.800000000000011,0,0.9275689100000001,36.3315325003724,1.113082692,2
175,L47354,L,298.2,308.1,1306.0,58.3,35.0,0.0,No Failure,9.900000000000034,0,1.31721854,44.25992971523161,1.580662248,0
176,L47355,L,298.2,308.1,1382.0,43.5,37.0,0.0,No Failure,9.900000000000034,0,1.0400241,41.82595384087735,1.2480289199999999,0
177,L47356,L,298.2,308.1,1618.0,34.7,39.0,0.0,No Failure,9.900000000000034,0,0.9713015800000002,35.725258472245045,1.1655618960000003,2
178,L47357,L,298.2,308.2,1988.0,21.4,41.0,0.0,No Failure,10.0,1,0.7359973599999999,29.076191251555578,0.8831968319999999,4
179,L47358,L,298.2,308.2,1436.0,50.2,43.0,0.0,No Failure,10.0,0,1.2471085599999998,40.25311156552402,1.4965302719999998,0
180,L47359,L,298.2,308.3,1304.0,49.8,45.0,0.0,No Failure,10.100000000000023,0,1.12344816,44.32781304301571,1.348137792,0
181,L47360,L,298.2,308.3,1475.0,49.9,47.0,0.0,No Failure,10.100000000000023,0,1.27332325,39.18879200548643,1.5279879,0
182,H29595,H,298.2,308.3,1824.0,24.2,49.0,0.0,No Failure,10.100000000000023,0,0.7636358400000001,31.690497921103333,0.916363008,2
183,M15042,M,298.1,308.2,1342.0,48.1,54.0,0.0,No Failure,10.099999999999966,0,1.1167184600000002,43.07262906713299,1.3400621520000002,0
184,L47363,L,298.1,308.2,1485.0,40.7,57.0,0.0,No Failure,10.099999999999966,0,1.0456033500000002,38.92489441622389,1.25472402,0
185,L47364,L,298.2,308.2,1667.0,30.6,59.0,0.0,No Failure,10.0,0,0.8824764600000001,34.67514589567635,1.0589717520000002,2
186,L47365,L,298.2,308.2,1446.0,38.2,61.0,0.0,No Failure,10.0,0,0.9556035599999999,39.97473596686895,1.146724272,0
187,L47366,L,298.1,308.3,1301.0,56.0,63.0,0.0,No Failure,10.199999999999989,0,1.2604088,44.430029368249414,1.51249056,0
188,L47367,L,298.2,308.4,1379.0,43.1,65.0,0.0,No Failure,10.199999999999989,0,1.02822377,41.916945763663875,1.233868524,0
189,L47368,L,298.3,308.5,1606.0,33.6,67.0,0.0,No Failure,10.199999999999989,0,0.9335356800000002,35.99219689171387,1.1202428160000002,2
190,M15049,M,298.3,308.4,1539.0,43.4,69.0,0.0,No Failure,10.099999999999966,0,1.1555119799999998,37.55910864723359,1.3866143759999996,2
191,L47370,L,298.2,308.4,1477.0,49.9,72.0,0.0,No Failure,10.199999999999989,0,1.2750497900000002,39.135726613468165,1.5300597480000002,0
